case_no,case_type,question_no,question,c_option,script_file,video_file_name,output_relative_path,status,source,role,tts_speed,raw_video_path,deliverable_video_path,actual_duration_seconds,video_codec,audio_codec,resolution,remark
1,直播艺人经纪,1,您主张双方存在主播/艺人经纪合作关系，请问双方是否形成了相应的合同或合作文件？,没有书面、电子或其他可核验的合同/合作文件，仅能说明曾有口头沟通或单方理解。,执行资料/正式脚本_反馈合并版/01_直播艺人经纪/q1_c.txt,01_直播艺人经纪_Q1_C.mp4,videos/final/01_直播艺人经纪/q1_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男1_浩南-商务,1.0,videos/final/01_直播艺人经纪/q1_c.mp4,videos/deliverable/01_直播艺人经纪/q1_c.mp4,38.00,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
1,直播艺人经纪,2,合同签订后，经纪机构是否实际启动了运营/孵化/演艺安排工作？,合同签订后经纪机构未实际开展任何运营、推广或演艺安排，几乎没有实质性履约行动。,执行资料/正式脚本_反馈合并版/01_直播艺人经纪/q2_c.txt,01_直播艺人经纪_Q2_C.mp4,videos/final/01_直播艺人经纪/q2_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男1_浩南-商务,1.0,videos/final/01_直播艺人经纪/q2_c.mp4,videos/deliverable/01_直播艺人经纪/q2_c.mp4,32.92,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
1,直播艺人经纪,3,您主张对方构成违约，具体违约事实是什么？,无法明确指出对方违反了哪项具体约定，主要是对分成结果、经纪效果或合作体验不满意。,执行资料/正式脚本_反馈合并版/01_直播艺人经纪/q3_c.txt,01_直播艺人经纪_Q3_C.mp4,videos/final/01_直播艺人经纪/q3_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男1_浩南-商务,1.0,videos/final/01_直播艺人经纪/q3_c.mp4,videos/deliverable/01_直播艺人经纪/q3_c.mp4,40.32,h264,aac,1080x1920,按第01批校对稿重跑；修正经纪效果固定搭配断行；语速1.0；已叠加广仲logo。
1,直播艺人经纪,4,关于您主张的金额，是否有清晰的计算依据和证据支撑？,缺少关键证据，金额主要来自单方估算，难以证明具体损失或应付/应退金额。,执行资料/正式脚本_反馈合并版/01_直播艺人经纪/q4_c.txt,01_直播艺人经纪_Q4_C.mp4,videos/final/01_直播艺人经纪/q4_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男1_浩南-商务,1.0,videos/final/01_直播艺人经纪/q4_c.mp4,videos/deliverable/01_直播艺人经纪/q4_c.mp4,38.87,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
2,电商代运营,1,您主张双方存在电商代运营关系，请问双方是否形成了相应的合同或合作文件？,没有书面、电子或其他可核验的合同/合作文件，仅能说明曾有口头沟通或单方理解。,执行资料/正式脚本_反馈合并版/02_电商代运营/q1_c.txt,02_电商代运营_Q1_C.mp4,videos/final/02_电商代运营/q1_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女1_婉玟-商务,1.0,videos/final/02_电商代运营/q1_c.mp4,videos/deliverable/02_电商代运营/q1_c.mp4,40.23,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
2,电商代运营,2,合同签订后，代运营方是否实际开始了店铺运营工作？,合同签订后代运营方未实际接手店铺或开展运营，无任何可查证的运营行为。,执行资料/正式脚本_反馈合并版/02_电商代运营/q2_c.txt,02_电商代运营_Q2_C.mp4,videos/final/02_电商代运营/q2_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女1_婉玟-商务,1.0,videos/final/02_电商代运营/q2_c.mp4,videos/deliverable/02_电商代运营/q2_c.mp4,38.23,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
2,电商代运营,3,您主张对方构成违约，具体违约事实是什么？,无法明确指出对方违反了哪项具体约定，主要是对销售业绩或运营结果不满意。,执行资料/正式脚本_反馈合并版/02_电商代运营/q3_c.txt,02_电商代运营_Q3_C.mp4,videos/final/02_电商代运营/q3_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女1_婉玟-商务,1.0,videos/final/02_电商代运营/q3_c.mp4,videos/deliverable/02_电商代运营/q3_c.mp4,37.12,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
2,电商代运营,4,关于您主张的金额，是否有清晰的计算依据和证据支撑？,缺少关键证据，金额主要来自单方估算，难以证明具体损失或应退金额。,执行资料/正式脚本_反馈合并版/02_电商代运营/q4_c.txt,02_电商代运营_Q4_C.mp4,videos/final/02_电商代运营/q4_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女1_婉玟-商务,1.0,videos/final/02_电商代运营/q4_c.mp4,videos/deliverable/02_电商代运营/q4_c.mp4,38.78,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
3,游戏网络服务,1,您主张双方存在游戏网络服务关系，请问双方是否形成了相应的合同或合作文件？,没有任何书面或电子凭证，仅能说明曾有口头沟通，充值或交付行为无法核实。,执行资料/正式脚本_反馈合并版/03_游戏网络服务/q1_c.txt,03_游戏网络服务_Q1_C.mp4,videos/final/03_游戏网络服务/q1_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男2_王浩-正式,1.0,videos/final/03_游戏网络服务/q1_c.mp4,videos/deliverable/03_游戏网络服务/q1_c.mp4,43.11,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
3,游戏网络服务,2,双方对游戏网络服务的关键条款是否约定清楚？,未约定服务的具体内容、账号归属或退款条件，双方对核心权利义务均无明确书面约定。,执行资料/正式脚本_反馈合并版/03_游戏网络服务/q2_c.txt,03_游戏网络服务_Q2_C.mp4,videos/final/03_游戏网络服务/q2_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男2_王浩-正式,1.0,videos/final/03_游戏网络服务/q2_c.mp4,videos/deliverable/03_游戏网络服务/q2_c.mp4,44.71,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
